time,date,day_of_week,car_count,motorcycle_count,truck_count,bus_count,total,avg_exit_time_seconds,road_status,traffic_situation
20:25:00,2025-04-20,Sunday,140,1,10,0,151,4.693563431924883,m,high
20:26:00,2025-04-20,Sunday,74,1,7,2,84,5.676192825503356,m,normal
20:27:00,2025-04-20,Sunday,69,0,2,1,72,4.196671946153846,m,normal
20:28:00,2025-04-20,Sunday,75,0,4,1,80,4.5958421933333335,m,normal
20:29:00,2025-04-20,Sunday,133,0,5,0,138,4.605157762557077,m,high
20:29:20,2025-04-20,Sunday,50,0,3,1,54,4.402627458823529,m,high
20:26:00,2025-04-20,Sunday,37,2,0,0,39,6.2191050882352945,s,heavy
20:27:00,2025-04-20,Sunday,40,1,0,3,44,8.827519966216215,s,heavy
20:28:00,2025-04-20,Sunday,34,2,0,1,37,12.45306194871795,s,heavy
20:29:00,2025-04-20,Sunday,39,0,0,0,39,12.283955096774195,s,heavy
20:29:44,2025-04-20,Sunday,36,1,1,0,38,9.293660311111111,s,heavy
16:47:00,2025-04-21,Monday,145,1,11,1,158,4.539125304964539,m,high
16:48:00,2025-04-21,Monday,103,2,11,2,118,4.286722041493777,m,normal
16:49:00,2025-04-21,Monday,84,0,12,2,98,4.320114948275862,m,normal
16:50:00,2025-04-21,Monday,150,3,19,1,173,4.068162429487179,m,normal
16:51:00,2025-04-21,Monday,178,2,15,0,195,4.031666676470588,m,high
16:52:00,2025-04-21,Monday,132,0,13,1,146,4.355515123636363,m,normal
11:13:00,2025-04-21,Monday,98,0,9,0,107,5.430476314814815,m,normal
11:14:00,2025-04-21,Monday,67,2,11,0,80,5.778478699453553,m,normal
11:15:00,2025-04-21,Monday,47,1,4,0,52,6.6383938848920865,m,low
11:16:00,2025-04-21,Monday,43,1,11,0,55,6.637358008403361,m,low
11:17:00,2025-04-21,Monday,85,1,13,2,101,5.756679078651685,m,normal
11:18:00,2025-04-21,Monday,107,1,22,3,133,4.568259450450451,m,normal
11:19:00,2025-04-21,Monday,66,0,14,0,80,3.4015932101449278,m,low
11:20:00,2025-04-21,Monday,62,0,6,1,69,3.5259024141414144,m,low
11:21:00,2025-04-21,Monday,57,0,5,0,62,3.223796794117647,m,low
11:00:00,2025-04-21,Monday,29,0,2,0,31,3.838799752873563,s,normal
11:01:00,2025-04-21,Monday,20,0,1,0,21,4.18816796875,s,low
11:02:00,2025-04-21,Monday,22,1,2,0,25,4.55537526984127,s,low
11:03:00,2025-04-21,Monday,9,1,2,0,12,3.7096590156250002,s,low
11:04:00,2025-04-21,Monday,24,0,0,0,24,6.071729379310344,s,normal
11:05:00,2025-04-21,Monday,27,0,0,0,27,4.054406057471264,s,normal
11:07:00,2025-04-21,Monday,17,0,3,0,20,3.2105815714285715,s,low
11:08:00,2025-04-21,Monday,16,0,0,0,16,4.047071714285714,s,low
11:09:00,2025-04-21,Monday,24,0,3,2,29,4.133469092307693,s,low
11:10:00,2025-04-21,Monday,24,0,4,0,28,4.673486846153846,s,normal
11:11:00,2025-04-21,Monday,20,0,3,0,23,5.605022774193548,s,normal
14:23:00,2025-04-21,Monday,71,1,7,1,80,4.241823839622642,m,low
14:24:00,2025-04-21,Monday,142,2,6,4,154,4.2876379933774835,m,normal
14:25:00,2025-04-21,Monday,61,1,6,3,71,5.425757525974026,m,low
14:26:00,2025-04-21,Monday,64,0,6,2,72,4.938323353293414,m,low
14:27:00,2025-04-21,Monday,72,2,3,0,77,5.292198632978724,m,low
14:28:00,2025-04-21,Monday,140,2,10,2,154,4.438078708333333,m,normal
14:29:00,2025-04-21,Monday,79,1,8,3,91,5.071929836842105,m,low
14:24:00,2025-04-21,Monday,33,1,2,1,37,4.1828106428571425,s,normal
14:25:00,2025-04-21,Monday,23,0,1,0,24,3.2643857943925236,s,low
14:26:00,2025-04-21,Monday,20,0,0,0,20,2.869445055555555,s,low
14:27:00,2025-04-21,Monday,28,1,3,0,32,3.533562144578313,s,low
14:28:00,2025-04-21,Monday,42,2,1,0,45,3.1058463225806454,s,normal
14:29:00,2025-04-21,Monday,30,3,1,0,34,3.336699039370079,s,low
14:29:51,2025-04-21,Monday,13,0,2,0,15,3.5967607083333335,s,low
16:39:00,2025-04-21,Monday,81,2,12,3,98,4.708383263473054,m,low
16:40:00,2025-04-21,Monday,96,2,22,2,122,4.885687429378531,m,normal
16:41:00,2025-04-21,Monday,84,0,8,0,92,5.37419355483871,m,low
16:42:00,2025-04-21,Monday,77,2,19,2,100,4.970537587096774,m,low
16:43:00,2025-04-21,Monday,81,1,21,1,104,4.764218401129944,m,low
13:32:00,2025-04-21,Monday,99,0,20,0,119,4.361319032085562,m,normal
13:33:00,2025-04-21,Monday,87,3,7,0,97,4.491033111111111,m,low
13:34:00,2025-04-21,Monday,106,1,14,0,121,4.619796934010153,m,normal
13:35:00,2025-04-21,Monday,125,0,7,0,132,4.719289345177665,m,normal
13:36:00,2025-04-21,Monday,117,0,9,2,128,4.524806172093023,m,normal
13:36:41,2025-04-21,Monday,94,1,8,0,103,4.1958333579545455,m,normal
16:32:00,2025-04-21,Monday,125,0,11,2,138,4.685374132653061,m,high
16:33:00,2025-04-21,Monday,98,0,4,0,102,5.1266666625,m,normal
16:34:00,2025-04-21,Monday,116,2,7,0,125,4.56354678817734,m,normal
16:35:00,2025-04-21,Monday,113,2,13,0,128,4.810362668393783,m,normal
16:36:00,2025-04-21,Monday,122,0,7,0,129,4.944927559782609,m,normal
16:37:00,2025-04-21,Monday,126,1,14,1,142,5.041752587628866,m,normal
